,Unnamed: 0,date,prix,chambres,salles_de_bain,m2_habitable,m2_Lot,étages,vue_sur_l-eau,vue,condition,état,m2_above,m2_cave,yr_renovated,zipcode,lat,long,m2_habitable15,m2_lot15
0,0,20141013T000000,221900.0,3,1.0,393.33,1883.33,1.0,0,0,3,7,393.33,0.0,1955,98178,47.51,-122.26,446.67,1883.33
1,1,20141209T000000,538000.0,3,2.25,856.67,2414.0,2.0,0,0,3,7,723.33,133.33,1991,98125,47.72,-122.32,563.33,2546.33
2,2,20150225T000000,180000.0,2,1.0,256.67,3333.33,1.0,0,0,3,6,256.67,0.0,1933,98028,47.74,-122.23,906.67,2687.33
3,3,20141209T000000,604000.0,4,3.0,653.33,1666.67,1.0,0,0,5,7,350.0,303.33,1965,98136,47.52,-122.39,453.33,1666.67
4,4,20150218T000000,510000.0,3,2.0,560.0,2693.33,1.0,0,0,3,8,560.0,0.0,1987,98074,47.62,-122.04,600.0,2501.0
5,5,20140512T000000,1225000.0,4,4.5,1806.67,33976.67,1.0,0,0,3,11,1296.67,510.0,2001,98053,47.66,-122.0,1586.67,33976.67
6,6,20140627T000000,257500.0,3,2.25,571.67,2273.0,2.0,0,0,3,7,571.67,0.0,1995,98003,47.31,-122.33,746.0,2273.0
7,7,20150115T000000,291850.0,3,1.5,353.33,3237.0,1.0,0,0,3,7,353.33,0.0,1963,98198,47.41,-122.32,550.0,3237.0
8,8,20150415T000000,229500.0,3,1.0,593.33,2490.0,1.0,0,0,3,7,350.0,243.33,1960,98146,47.51,-122.34,593.33,2704.33
9,9,20150312T000000,323000.0,3,2.5,630.0,2186.67,2.0,0,0,3,7,630.0,0.0,2003,98038,47.37,-122.03,796.67,2523.33
10,10,20150403T000000,662500.0,3,2.5,1186.67,3265.33,1.0,0,0,3,8,620.0,566.67,1965,98007,47.6,-122.14,736.67,2975.0
11,11,20140527T000000,468000.0,2,1.0,386.67,2000.0,1.0,0,0,4,7,286.67,100.0,1942,98115,47.69,-122.29,443.33,2000.0
12,12,20140528T000000,310000.0,3,1.0,476.67,6633.67,1.5,0,0,4,7,476.67,0.0,1927,98028,47.76,-122.23,593.33,4232.33
13,13,20141007T000000,400000.0,3,1.75,456.67,3226.67,1.0,0,0,4,7,456.67,0.0,1977,98074,47.61,-122.04,456.67,3402.67
14,14,20150312T000000,530000.0,5,2.0,603.33,1616.67,1.5,0,0,3,7,603.33,0.0,1900,98107,47.67,-122.39,453.33,1616.67
15,15,20150124T000000,650000.0,4,3.0,983.33,1666.67,2.0,0,3,3,9,660.0,323.33,1979,98126,47.57,-122.38,713.33,1333.33
16,16,20140731T000000,395000.0,3,2.0,630.0,4680.0,2.0,0,0,3,7,630.0,0.0,1994,98019,47.73,-121.96,630.0,4672.67
17,17,20140529T000000,485000.0,4,1.0,533.33,1433.33,1.5,0,0,4,7,533.33,0.0,1916,98103,47.66,-122.34,536.67,1433.33
18,18,20141205T000000,189000.0,2,1.0,400.0,3283.33,1.0,0,0,4,7,400.0,0.0,1921,98002,47.31,-122.21,353.33,1698.33
19,19,20150424T000000,230000.0,3,1.0,416.67,3258.0,1.0,0,0,4,7,416.67,0.0,1969,98003,47.33,-122.31,426.67,2950.0
20,20,20140514T000000,385000.0,4,1.75,540.0,1660.0,1.0,0,0,4,7,286.67,253.33,1947,98133,47.7,-122.34,466.67,1660.0
21,21,20140826T000000,2000000.0,3,2.75,1016.67,14955.67,1.0,0,4,3,9,776.67,240.0,1968,98040,47.53,-122.23,1370.0,6778.67
22,22,20140703T000000,285000.0,5,2.5,756.67,2100.0,2.0,0,0,3,8,756.67,0.0,1995,98092,47.33,-122.17,746.67,2335.0
23,23,20140516T000000,252700.0,2,1.5,356.67,3214.33,1.0,0,0,3,7,356.67,0.0,1985,98030,47.35,-122.17,406.67,2795.33
24,24,20141120T000000,329000.0,3,2.25,816.67,2166.67,2.0,0,0,4,8,816.67,0.0,1985,98030,47.37,-122.17,733.33,2288.33
25,25,20141103T000000,233000.0,3,2.0,570.0,1565.67,1.5,0,0,5,6,570.0,0.0,1941,98002,47.3,-122.22,343.33,1568.33
26,26,20140626T000000,937000.0,3,1.75,816.67,897.0,2.0,0,0,3,8,583.33,233.33,1915,98119,47.64,-122.36,586.67,1191.0
27,27,20141201T000000,667000.0,3,1.0,466.67,527.0,1.5,0,0,5,8,466.67,0.0,1909,98112,47.62,-122.31,620.0,1287.0
28,28,20140624T000000,438000.0,3,1.75,506.67,2126.67,1.0,0,0,3,7,263.33,243.33,1948,98115,47.7,-122.3,506.67,2078.33
29,29,20150302T000000,719000.0,4,2.5,856.67,2391.0,2.0,0,0,3,8,856.67,0.0,2005,98052,47.71,-122.11,876.67,2008.67
30,30,20141110T000000,580500.0,3,2.5,773.33,1326.67,2.0,0,0,3,8,773.33,0.0,2003,98027,47.54,-122.07,860.0,1326.67
31,31,20141201T000000,280000.0,2,1.5,396.67,421.67,3.0,0,0,3,7,396.67,0.0,2005,98133,47.73,-122.36,463.33,585.33
32,32,20140624T000000,687500.0,4,1.75,776.67,1666.67,1.5,0,0,4,7,503.33,273.33,1929,98117,47.68,-122.37,486.67,1666.67
33,33,20141110T000000,535000.0,3,1.0,363.33,1000.0,1.5,0,0,4,8,363.33,0.0,1929,98117,47.69,-122.38,523.33,1693.33
34,34,20141203T000000,322500.0,4,2.75,686.67,2219.67,1.0,0,0,3,7,426.67,260.0,1981,98058,47.43,-122.16,673.33,2906.67
35,35,20140613T000000,696000.0,3,2.5,766.67,1020.0,1.5,0,0,3,8,503.33,263.33,2002,98115,47.68,-122.31,530.0,1088.0
36,36,20140528T000000,550000.0,4,1.0,553.33,11616.0,1.0,0,0,1,5,310.0,243.33,1933,98052,47.66,-122.13,720.0,3822.33
37,37,20141230T000000,640000.0,4,2.0,786.67,2000.0,2.0,0,0,4,8,786.67,0.0,1904,98107,47.67,-122.36,576.67,1566.67
38,38,20150213T000000,240000.0,4,1.0,406.67,2691.67,1.0,0,0,2,7,296.67,110.0,1969,98001,47.33,-122.28,430.0,2600.0
39,39,20140620T000000,605000.0,4,2.5,873.33,2517.67,2.0,0,0,3,8,873.33,0.0,1996,98056,47.53,-122.18,873.33,3961.33
40,40,20140715T000000,625000.0,4,2.5,856.67,1840.0,2.0,0,0,3,9,856.67,0.0,2000,98074,47.61,-122.03,823.33,1889.67
41,41,20140811T000000,775000.0,4,2.25,1406.67,8062.0,1.0,0,0,3,8,866.67,540.0,1984,98166,47.44,-122.35,803.33,10205.67
42,42,20140707T000000,861990.0,5,2.75,1198.33,1879.67,2.0,0,0,3,9,1198.33,0.0,2014,98053,47.68,-122.02,1208.33,1879.67
43,43,20141028T000000,685000.0,3,1.0,523.33,760.0,2.0,0,0,3,7,523.33,0.0,1922,98119,47.64,-122.36,526.67,880.0
44,44,20140729T000000,309000.0,3,1.0,426.67,3218.67,1.0,0,0,4,6,306.67,120.0,1959,98058,47.45,-122.18,446.67,2936.0
45,45,20140718T000000,488000.0,3,2.5,1053.33,4534.33,2.0,0,0,3,8,1053.33,0.0,2003,98019,47.74,-121.98,1016.67,3077.33
46,46,20150325T000000,210490.0,3,1.0,330.0,2842.67,1.0,0,0,3,6,330.0,0.0,1966,98023,47.31,-122.37,409.33,2946.67
47,47,20140716T000000,785000.0,4,2.5,763.33,4472.0,2.0,0,0,4,9,763.33,0.0,1981,98007,47.62,-122.15,893.33,4561.67
48,48,20150428T000000,450000.0,3,1.75,416.67,1987.67,1.0,0,0,4,7,416.67,0.0,1953,98115,47.68,-122.3,323.33,1700.0
49,49,20150311T000000,1350000.0,3,2.5,917.67,21668.33,1.0,1,2,5,9,721.67,196.0,1953,98070,47.4,-122.45,893.33,24171.0
